filename,ground_truth_score,prediction_score,residual,absolute_error
test180.tiff,4.0,1.792204976081848,-2.207795023918152,2.207795023918152
test046.tiff,3.6666667461395264,1.5288817882537842,-2.137784957885742,2.137784957885742
test259.tiff,3.8333332538604736,1.8454432487487795,-1.9878900051116941,1.9878900051116941
test119.tiff,4.0,2.1102519035339355,-1.8897480964660645,1.8897480964660645
test023.tiff,4.0,2.2655723094940186,-1.7344276905059814,1.7344276905059814
test016.tiff,4.0,2.281672477722168,-1.718327522277832,1.718327522277832
test105.tiff,3.5,1.854729413986206,-1.645270586013794,1.645270586013794
test221.tiff,3.8333332538604736,2.2985610961914062,-1.5347721576690674,1.5347721576690674
test101.tiff,3.0,1.515615463256836,-1.484384536743164,1.484384536743164
test200.tiff,2.6666667461395264,1.230122685432434,-1.4365440607070923,1.4365440607070923
