filename,ground_truth_score,prediction_score,residual,absolute_error
test228.tiff,0.3333333432674408,1.7955397367477417,1.462206393480301,1.462206393480301
test248.tiff,2.1666667461395264,3.575614213943481,1.4089474678039546,1.4089474678039546
test235.tiff,0.8333333134651184,2.229356527328491,1.3960232138633728,1.3960232138633728
test180.tiff,4.0,2.6322622299194336,-1.3677377700805664,1.3677377700805664
test006.tiff,2.1666667461395264,3.515807628631592,1.3491408824920654,1.3491408824920654
test145.tiff,0.6666666865348816,1.9671642780303955,1.300497591495514,1.300497591495514
test016.tiff,4.0,2.705432653427124,-1.294567346572876,1.294567346572876
test046.tiff,3.6666667461395264,2.3926491737365723,-1.274017572402954,1.274017572402954
test267.tiff,1.0,2.260095834732056,1.260095834732056,1.260095834732056
test236.tiff,0.6666666865348816,1.7700926065444946,1.103425920009613,1.103425920009613
